编号,卡名,计划,固定属性VO,固定属性DA,固定属性VI,百分比加成VO,百分比加成DA,百分比加成VI
hmsz-3-008,桜,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-009,アニメイト,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-010,Star-mine,Sense,85,125,135,27.0,10.0,18.0
hmsz-3-012,ミラクルナナウ(ﾟ∀ﾟ)！,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-013,がむしゃらに行こう！,Anomaly,85,125,135,27.0,10.0,18.0
hmsz-3-014,Superlative,Logic,85,125,135,27.0,10.0,18.0
hmsz-3-015,ENDLESS DANCE,Logic,85,125,135,27.0,10.0,18.0
hmsz-3-016,VEIL,Anomaly,85,125,135,27.0,10.0,18.0
hrnm-1-000,学園生活,Sense,75,100,100,9.0,19.5,23.5
hrnm-1-001,初心,Logic,75,100,100,9.0,19.5,23.5
hrnm-2-000,『私らしさ』のはじまり,Sense,80,105,105,10.0,20.5,23.5
hrnm-3-000,clumsy trick,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-001,キミとセミブルー,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-002,L.U.V,Logic,80,105,105,11.0,21.5,23.5
hrnm-3-003,祭,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-004,ようこそ初星温泉,Logic,85,110,110,11.0,21.5,23.5
hrnm-3-005,ハロウィン,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-006,クリスマス,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-007,Campus mode!!,Anomaly,85,110,110,11.0,21.5,23.5
hrnm-3-008,ハッピーミルフィーユ,Anomaly,85,110,110,11.0,21.5,23.5
hrnm-3-009,ひな祭り,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-010,桜,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-011,アニメイト,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-012,Howling over the World,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-013,36℃ U･B･U,Logic,85,110,110,11.0,21.5,23.5
hrnm-3-014,ミラクルナナウ(ﾟ∀ﾟ)！,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-015,がむしゃらに行こう！,Sense,85,110,110,11.0,21.5,23.5
hrnm-3-016,ENDLESS DANCE,Sense,85,110,110,11.0,21.5,23.5
hski-1-000,学園生活,Sense,90,90,95,15.5,15.5,18.5
hski-1-001,初声,Logic,90,90,95,15.5,15.5,18.5
hski-2-000,わたしが一番！,Sense,95,95,100,16.5,16.5,18.5
hski-3-000,Fighting My Way,Sense,100,100,105,16.5,16.5,20.5
hski-3-001,Boom Boom Pow,Logic,100,100,105,16.5,16.5,20.5
hski-3-002,冠菊,Logic,100,100,105,16.5,16.5,20.5
hski-3-003,夏,Sense,100,100,105,16.5,16.5,20.5
hski-3-005,ハロウィン,Sense,100,100,105,16.5,16.5,20.5
hski-3-006,古今東西ちょちょいのちょい,Sense,100,100,105,16.5,16.5,20.5
hski-3-007,クリスマス,Sense,100,100,105,16.5,16.5,20.5
hski-3-008,Campus mode!!,Sense,100,100,105,16.5,16.5,20.5
hski-3-009,バレンタイン,Sense,100,100,105,16.5,16.5,20.5
hski-3-010,ひな祭り,Sense,100,100,105,16.5,16.5,20.5
hski-3-011,桜フォトグラフ,Anomaly,100,100,105,16.5,16.5,20.5
hski-3-012,雨上がりのアイリス,Logic,100,100,105,16.5,16.5,20.5
hski-3-013,Howling over the World,Sense,100,100,105,16.5,16.5,20.5
hski-3-014,ミラクルナナウ(ﾟ∀ﾟ)！,Sense,100,100,105,16.5,16.5,20.5
hski-3-015,がむしゃらに行こう！,Anomaly,100,100,105,16.5,16.5,20.5
hski-3-016,ENDLESS DANCE,Sense,100,100,105,16.5,16.5,20.5
hski-3-017,Wildest Flower,Logic,100,100,105,16.5,16.5,20.5
hume-1-000,学園生活,Logic,80,85,90,19.0,22.0,13.0
hume-1-001,初陣,Sense,80,85,90,19.0,22.0,13.0
hume-2-000,アイドル、はじめっ！,Logic,85,90,95,19.0,23.0,14.0
hume-3-000,The Rolling Riceball,Logic,90,95,100,20.0,23.0,15.0
hume-3-001,夏,Logic,90,95,100,20.0,23.0,15.0
hume-3-002,祭,Logic,90,95,100,20.0,23.0,15.0
hume-3-004,ハロウィン,Logic,90,95,100,20.0,23.0,15.0
hume-3-005,White Night! White Wish!,Sense,90,95,100,20.0,23.0,15.0
hume-3-006,Campus mode!!,Anomaly,90,95,100,20.0,23.0,15.0
hume-3-007,バレンタイン,Logic,90,95,100,20.0,23.0,15.0
hume-3-008,ひな祭り,Logic,90,95,100,20.0,23.0,15.0
hume-3-009,グースーピー,Anomaly,90,95,100,20.0,23.0,15.0
hume-3-010,桜,Logic,90,95,100,20.0,23.0,15.0
hume-3-011,アニメイト,Logic,90,95,100,20.0,23.0,15.0
hume-3-012,Star-mine,Logic,90,95,100,20.0,23.0,15.0
hume-3-013,Howling over the World,Logic,90,95,100,20.0,23.0,15.0
hume-3-014,ミラクルナナウ(ﾟ∀ﾟ)！,Logic,90,95,100,20.0,23.0,15.0
hume-3-015,がむしゃらに行こう！,Logic,90,95,100,20.0,23.0,15.0
hume-3-016,ENDLESS DANCE,Sense,90,95,100,20.0,23.0,15.0
hume-3-017,真っ白いページと水彩の主人公,Logic,90,95,100,20.0,23.0,15.0
jsna-1-000,学園生活,Anomaly,155,105,120,13.0,6.0,18.5
jsna-1-001,初陣,Logic,155,105,120,13.0,6.0,18.5
jsna-2-000,一番星,Anomaly,165,115,130,14.0,7.0,19.5
jsna-3-000,小さな野望,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-001,クリスマス,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-002,Campus mode!!,Sense,175,125,140,15.0,8.0,20.5
jsna-3-003,ハッピーミルフィーユ,Logic,175,125,140,15.0,8.0,20.5
jsna-3-004,ひな祭り,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-005,桜,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-006,Our Chant,Logic,175,125,140,15.0,8.0,20.5
jsna-3-007,夏,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-008,祭,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-009,ハロウィン,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-010,アニメイト,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-011,Star-mine,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-012,Howling over the World,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-013,ミラクルナナウ(ﾟ∀ﾟ)！,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-014,がむしゃらに行こう！,Anomaly,175,125,140,15.0,8.0,20.5
jsna-3-015,赤裸々,Logic,175,125,140,15.0,8.0,20.5
jsna-3-016,ENDLESS DANCE,Anomaly,175,125,140,15.0,8.0,20.5
kcna-1-000,学園生活,Logic,65,105,115,9.0,24.0,17.5
kcna-1-001,初心,Sense,65,105,115,9.0,24.0,17.5
kcna-2-000,胸を張って一歩ずつ,Logic,70,110,120,10.0,24.0,18.5
kcna-3-000,Wonder Scale,Logic,75,115,125,10.0,24.0,20.5
kcna-3-001,日々、発見的ステップ！,Sense,75,115,125,10.0,24.0,20.5
kcna-3-002,仮装狂騒曲,Sense,75,115,125,10.0,24.0,20.5
kcna-3-003,夏,Logic,75,115,125,10.0,24.0,20.5
kcna-3-004,祭,Logic,75,115,125,10.0,24.0,20.5
kcna-3-005,ようこそ初星温泉,Sense,75,115,125,10.0,24.0,20.5
kcna-3-006,クリスマス,Logic,75,115,125,10.0,24.0,20.5
kcna-3-007,Campus mode!!,Logic,75,115,125,10.0,24.0,20.5
kcna-3-008,バレンタイン,Logic,75,115,125,10.0,24.0,20.5
kcna-3-009,雪解けに,Logic,75,115,125,10.0,24.0,20.5
kcna-3-010,桜,Logic,75,115,125,10.0,24.0,20.5
kcna-3-011,アニメイト,Logic,75,115,125,10.0,24.0,20.5
kcna-3-012,Howling over the World,Anomaly,75,115,125,10.0,24.0,20.5
kcna-3-013,ミラクルナナウ(ﾟ∀ﾟ)！,Logic,75,115,125,10.0,24.0,20.5
kcna-3-014,空と約束,Sense,75,115,125,10.0,24.0,20.5
kcna-3-015,がむしゃらに行こう！,Logic,75,115,125,10.0,24.0,20.5
kcna-3-016,みちなるひろがる,Sense,75,115,125,10.0,24.0,20.5
kcna-3-017,ENDLESS DANCE,Logic,75,115,125,10.0,24.0,20.5
kllj-1-000,学園生活,Logic,70,90,105,16.0,20.0,16.0
kllj-1-001,初心,Sense,70,90,105,16.0,20.0,16.0
kllj-2-000,一つ踏み出した先に,Logic,75,95,110,17.0,20.0,17.0
kllj-3-000,白線,Logic,80,100,115,18.0,20.0,18.0
kllj-3-001,冠菊,Sense,80,100,115,18.0,20.0,18.0
kllj-3-002,夏,Logic,80,100,115,18.0,20.0,18.0
kllj-3-004,ハロウィン,Logic,80,100,115,18.0,20.0,18.0
kllj-3-005,White Night! White Wish!,Logic,85,105,120,18.0,20.0,18.0
kllj-3-006,Campus mode!!,Sense,80,100,115,18.0,20.0,18.0
kllj-3-007,バレンタイン,Logic,80,100,115,18.0,20.0,18.0
kllj-3-008,極光,Anomaly,80,100,115,18.0,20.0,18.0
kllj-3-009,ひな祭り,Logic,80,100,115,18.0,20.0,18.0
kllj-3-010,桜フォトグラフ,Anomaly,80,100,115,18.0,20.0,18.0
kllj-3-011,アニメイト,Logic,80,100,115,18.0,20.0,18.0
kllj-3-012,Howling over the World,Logic,80,100,115,18.0,20.0,18.0
kllj-3-013,ミラクルナナウ(ﾟ∀ﾟ)！,Logic,80,100,115,18.0,20.0,18.0
kllj-3-014,がむしゃらに行こう！,Logic,80,100,115,18.0,20.0,18.0
kllj-3-015,Atmosphere,Anomaly,80,100,115,18.0,20.0,18.0
kllj-3-016,ENDLESS DANCE,Logic,80,100,115,18.0,20.0,18.0
kllj-3-017,ときめきエモーション,Sense,80,100,115,18.0,20.0,18.0
shro-1-000,学園生活,Logic,115,110,70,22.0,16.5,8.0
shro-1-001,初恋,Sense,115,110,70,22.0,16.5,8.0
shro-2-000,一番向いてないこと,Logic,120,115,75,23.0,18.5,9.0
shro-3-000,光景,Logic,125,120,80,23.0,19.5,10.0
shro-3-001,コントラスト,Sense,125,120,80,23.0,19.5,10.0
shro-3-002,仮装狂騒曲,Sense,125,120,80,23.0,19.5,10.0
shro-3-003,夏,Logic,125,120,80,23.0,19.5,10.0
shro-3-004,祭,Logic,125,120,80,23.0,19.5,10.0
shro-3-006,クリスマス,Logic,125,120,80,23.0,19.5,10.0
shro-3-007,Campus mode!!,Logic,125,120,80,23.0,19.5,10.0
shro-3-008,ハッピーミルフィーユ,Anomaly,125,120,80,23.0,19.5,10.0
shro-3-009,ひな祭り,Logic,125,120,80,23.0,19.5,10.0
shro-3-010,桜,Logic,125,120,80,23.0,19.5,10.0
shro-3-011,アニメイト,Logic,125,120,80,23.0,19.5,10.0
shro-3-012,サンフェーデッド,Anomaly,125,120,80,23.0,19.5,10.0
shro-3-013,Howling over the World,Logic,125,120,80,23.0,19.5,10.0
shro-3-014,ミラクルナナウ(ﾟ∀ﾟ)！,Anomaly,125,120,80,23.0,19.5,10.0
shro-3-015,がむしゃらに行こう！,Logic,125,120,80,23.0,19.5,10.0
shro-3-016,みちなるひろがる,Logic,125,120,80,23.0,19.5,10.0
shro-3-017,ENDLESS DANCE,Logic,125,120,80,23.0,19.5,10.0
ssmk-1-000,学園生活,Sense,90,105,80,7.0,23.0,21.0
ssmk-1-001,初恋,Logic,90,105,80,7.0,23.0,21.0
ssmk-2-000,夢へのリスタート,Sense,95,110,85,8.0,23.0,22.0
ssmk-3-000,Tame-Lie-One-Step,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-001,キミとセミブルー,Logic,100,115,90,9.0,23.0,23.0
ssmk-3-002,カクシタワタシ,Anomaly,100,115,90,9.0,23.0,23.0
ssmk-3-003,祭,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-005,ハロウィン,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-006,クリスマス,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-007,Campus mode!!,Logic,100,115,90,9.0,23.0,23.0
ssmk-3-008,バレンタイン,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-009,ひな祭り,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-010,桜フォトグラフ,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-011,アニメイト,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-012,Love & Joy,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-013,Howling over the World,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-014,ミラクルナナウ(ﾟ∀ﾟ)！,Logic,100,115,90,9.0,23.0,23.0
ssmk-3-015,がむしゃらに行こう！,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-016,ENDLESS DANCE,Sense,100,115,90,9.0,23.0,23.0
ssmk-3-017,ときめきエモーション,Anomaly,100,115,90,9.0,23.0,23.0
ttmr-1-000,学園生活,Sense,110,90,70,23.0,20.5,6.5
ttmr-1-001,初声,Logic,110,90,70,23.0,20.5,6.5
ttmr-2-000,一匹狼,Sense,115,95,75,24.0,20.5,7.5
ttmr-3-000,Luna say maybe,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-001,アイヴイ,Logic,120,100,80,24.0,21.5,8.5
ttmr-3-002,仮装狂騒曲,Logic,120,100,80,24.0,21.5,8.5
ttmr-3-003,夏,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-004,祭,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-006,クリスマス,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-007,Campus mode!!,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-008,バレンタイン,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-009,雪解けに,Anomaly,120,100,80,24.0,21.5,8.5
ttmr-3-010,桜,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-011,雨上がりのアイリス,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-012,アニメイト,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-013,Howling over the World,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-014,ミラクルナナウ(ﾟ∀ﾟ)！,Sense,120,100,80,24.0,21.5,8.5
ttmr-3-015,がむしゃらに行こう！,Logic,120,100,80,24.0,21.5,8.5
ttmr-3-016,一体いつから,Anomaly,120,100,80,24.0,21.5,8.5
ttmr-3-017,ENDLESS DANCE,Sense,120,100,80,24.0,21.5,8.5
